Gene.name	Gene.stable.ID	Mouse.gene.stable.ID	Mouse.gene.name
SLC1A6	ENSG00000105143	ENSMUSG00000005357	Slc1a6
C1QL4	ENSG00000186897	ENSMUSG00000001076	C1ql4
PDE6C	ENSG00000095464	ENSMUSG00000024992	Pde6c
FRG1	ENSG00000109536	ENSMUSG00000031590	Frg1
ESRP2	ENSG00000103067	ENSMUSG00000084128	Esrp2
KMT5A	ENSG00000183955	ENSMUSG00000049327	Kmt5a
DNAJC22	ENSG00000178401	ENSMUSG00000038009	Dnajc22
HVCN1	ENSG00000122986	ENSMUSG00000064267	Hvcn1
ANO6	ENSG00000177119	ENSMUSG00000064210	Ano6
RETNLB	ENSG00000163515	ENSMUSG00000022651	Retnlg
RETNLB	ENSG00000163515	ENSMUSG00000061100	Retnla
RETNLB	ENSG00000163515	ENSMUSG00000022650	Retnlb
TCP11L1	ENSG00000176148	ENSMUSG00000027175	Tcp11l1
SMC1B	ENSG00000077935	ENSMUSG00000022432	Smc1b
EPCAM	ENSG00000119888	ENSMUSG00000045394	Epcam
RILPL2	ENSG00000150977	ENSMUSG00000029401	Rilpl2
NET1	ENSG00000173848	ENSMUSG00000021215	Net1
PTH2	ENSG00000142538	ENSMUSG00000038300	Pth2
PRKD2	ENSG00000105287	ENSMUSG00000041187	Prkd2
SPARC	ENSG00000113140	ENSMUSG00000018593	Sparc
SLC9A9	ENSG00000181804	ENSMUSG00000031129	Slc9a9
CHCHD10	ENSG00000250479	ENSMUSG00000049422	Chchd10
GFY	ENSG00000261949	ENSMUSG00000095276	Gfy
C3orf52	ENSG00000114529	ENSMUSG00000033187	BC016579
ERAP1	ENSG00000164307	ENSMUSG00000021583	Erap1
SPTSSA	ENSG00000165389	ENSMUSG00000044408	Sptssa
CCDC105	ENSG00000160994	ENSMUSG00000078442	Ccdc105
AMD1	ENSG00000123505	ENSMUSG00000075232	Amd1
AMD1	ENSG00000123505	ENSMUSG00000063953	Amd2
EGLN3	ENSG00000129521	ENSMUSG00000035105	Egln3
GPR176	ENSG00000166073	ENSMUSG00000040133	Gpr176
NFATC2IP	ENSG00000176953	ENSMUSG00000030722	Nfatc2ip
OR2AT4	ENSG00000171561	ENSMUSG00000073998	Olfr520
ARHGEF7	ENSG00000102606	ENSMUSG00000031511	Arhgef7
CDC7	ENSG00000097046	ENSMUSG00000029283	Cdc7
MMP11	ENSG00000099953	ENSMUSG00000000901	Mmp11
ACOXL	ENSG00000153093	ENSMUSG00000027380	Acoxl
RILPL1	ENSG00000188026	ENSMUSG00000029392	Rilpl1
ETNK1	ENSG00000139163	ENSMUSG00000030275	Etnk1
GCSAM	ENSG00000174500	ENSMUSG00000022659	Gcsam
THBS1	ENSG00000137801	ENSMUSG00000040152	Thbs1
UQCRC2	ENSG00000140740	ENSMUSG00000030884	Uqcrc2
HSD17B7	ENSG00000132196	ENSMUSG00000026675	Hsd17b7
CSTF3	ENSG00000176102	ENSMUSG00000027176	Cstf3
NGEF	ENSG00000066248	ENSMUSG00000026259	Ngef
SNRNP35	ENSG00000184209	ENSMUSG00000029402	Snrnp35
SLC43A1	ENSG00000149150	ENSMUSG00000027075	Slc43a1
SWI5	ENSG00000175854	ENSMUSG00000044627	Swi5
FSIP1	ENSG00000150667	ENSMUSG00000027344	Fsip1
C22orf15	ENSG00000169314	ENSMUSG00000050157	Gm867
SGIP1	ENSG00000118473	ENSMUSG00000028524	Sgip1
CNGA1	ENSG00000198515	ENSMUSG00000067220	Cnga1
HMX1	ENSG00000215612	ENSMUSG00000067438	Hmx1
USP27X	ENSG00000273820	ENSMUSG00000046269	Usp27x
PAK4	ENSG00000130669	ENSMUSG00000030602	Pak4
GEMIN6	ENSG00000152147	ENSMUSG00000055760	Gemin6
CCDC190	ENSG00000185860	ENSMUSG00000070532	Ccdc190
RIMKLA	ENSG00000177181	ENSMUSG00000048899	Rimkla
MAGEH1	ENSG00000187601	ENSMUSG00000047238	Mageh1
AAAS	ENSG00000094914	ENSMUSG00000036678	Aaas
MTRES1	ENSG00000130349	ENSMUSG00000019797	1700021F05Rik
ELL2	ENSG00000118985	ENSMUSG00000001542	Ell2
HDAC6	ENSG00000094631	ENSMUSG00000031161	Hdac6
AGTRAP	ENSG00000177674	ENSMUSG00000029007	Agtrap
PTGDR	ENSG00000168229	ENSMUSG00000071489	Ptgdr
WDFY2	ENSG00000139668	ENSMUSG00000014547	Wdfy2
RGS4	ENSG00000117152	ENSMUSG00000038530	Rgs4
POLR3F	ENSG00000132664	ENSMUSG00000027427	Polr3f
TRUB2	ENSG00000167112	ENSMUSG00000039826	Trub2
TMED2	ENSG00000086598	ENSMUSG00000029390	Tmed2
RNASE13	ENSG00000206150	ENSMUSG00000068392	Rnase13
CENPJ	ENSG00000151849	ENSMUSG00000064128	Cenpj
SNORC	ENSG00000182600	ENSMUSG00000026258	Snorc
TMEM253	ENSG00000232070	ENSMUSG00000072571	Tmem253
NFXL1	ENSG00000170448	ENSMUSG00000072889	Nfxl1
SEPTIN7	ENSG00000122545	ENSMUSG00000001833	Sept7
STK4	ENSG00000101109	ENSMUSG00000018209	Stk4
GOLGA2	ENSG00000167110	ENSMUSG00000002546	Golga2
NDUFA5	ENSG00000128609	ENSMUSG00000023089	Ndufa5
DLEU7	ENSG00000186047	ENSMUSG00000048281	Dleu7
ZNF219	ENSG00000165804	ENSMUSG00000049295	Zfp219
KCNJ13	ENSG00000115474	ENSMUSG00000079436	Kcnj13
KY	ENSG00000174611	ENSMUSG00000035606	Ky
POLD1	ENSG00000062822	ENSMUSG00000038644	Pold1
TRIM13	ENSG00000204977	ENSMUSG00000035235	Trim13
CRBN	ENSG00000113851	ENSMUSG00000005362	Crbn
CAST	ENSG00000153113	ENSMUSG00000021585	Cast
NFIB	ENSG00000147862	ENSMUSG00000008575	Nfib
NR5A2	ENSG00000116833	ENSMUSG00000026398	Nr5a2
UNC13D	ENSG00000092929	ENSMUSG00000057948	Unc13d
CHAF1B	ENSG00000159259	ENSMUSG00000022945	Chaf1b
DACT3	ENSG00000197380	ENSMUSG00000078794	Dact3
C17orf98	ENSG00000275489	ENSMUSG00000018543	1700001P01Rik
GIGYF2	ENSG00000204120	ENSMUSG00000048000	Gigyf2
KDM4B	ENSG00000127663	ENSMUSG00000024201	Kdm4b
LAT	ENSG00000213658	ENSMUSG00000030742	Lat
EPB41L1	ENSG00000088367	ENSMUSG00000027624	Epb41l1
FAM133B	ENSG00000234545	ENSMUSG00000058503	Fam133b
BEND3	ENSG00000178409	ENSMUSG00000038214	Bend3
RBFOX2	ENSG00000100320	ENSMUSG00000033565	Rbfox2
DIPK2A	ENSG00000181744	ENSMUSG00000045414	Dipk2a
PTGER2	ENSG00000125384	ENSMUSG00000037759	Ptger2
OR6B2	ENSG00000182083	ENSMUSG00000067064	Olfr1416
OR6B2	ENSG00000182083	ENSMUSG00000057464	Olfr1415
OR6B2	ENSG00000182083	ENSMUSG00000042849	Olfr1414
MORC3	ENSG00000159256	ENSMUSG00000039456	Morc3
QRICH1	ENSG00000198218	ENSMUSG00000006673	Qrich1
SLITRK6	ENSG00000184564	ENSMUSG00000045871	Slitrk6
NDRG2	ENSG00000165795	ENSMUSG00000004558	Ndrg2
MYL6B	ENSG00000196465	ENSMUSG00000039824	Myl6b
EPHB1	ENSG00000154928	ENSMUSG00000032537	Ephb1
USP51	ENSG00000247746	ENSMUSG00000067215	Usp51
TCTEX1D1	ENSG00000152760	ENSMUSG00000028523	Tctex1d1
SPDYE21P	ENSG00000230358	ENSMUSG00000029586	Spdye4b
SPDYE21P	ENSG00000230358	ENSMUSG00000039296	Spdye4a
NUF2	ENSG00000143228	ENSMUSG00000026683	Nuf2
ZNF281	ENSG00000162702	ENSMUSG00000041483	Zfp281
TIMM10	ENSG00000134809	ENSMUSG00000027076	Timm10
FOXR2	ENSG00000189299	ENSMUSG00000071665	Foxr2
ATG10	ENSG00000152348	ENSMUSG00000021619	Atg10
ODF2	ENSG00000136811	ENSMUSG00000026790	Odf2
NPVF	ENSG00000105954	ENSMUSG00000029831	Npvf
NIPAL1	ENSG00000163293	ENSMUSG00000067219	Nipal1
SPATS2	ENSG00000123352	ENSMUSG00000051934	Spats2
SLITRK5	ENSG00000165300	ENSMUSG00000033214	Slitrk5
KIF14	ENSG00000118193	ENSMUSG00000041498	Kif14
CORIN	ENSG00000145244	ENSMUSG00000005220	Corin
RPS23	ENSG00000186468	ENSMUSG00000049517	Rps23
CCDC182	ENSG00000166329	ENSMUSG00000034031	Ccdc182
SMTNL1	ENSG00000214872	ENSMUSG00000027077	Smtnl1
TDRD12	ENSG00000173809	ENSMUSG00000030491	Tdrd12
LPIN1	ENSG00000134324	ENSMUSG00000020593	Lpin1
AURKA	ENSG00000087586	ENSMUSG00000027496	Aurka
GOLIM4	ENSG00000173905	ENSMUSG00000034109	Golim4
BRSK1	ENSG00000160469	ENSMUSG00000035390	Brsk1
CAV3	ENSG00000182533	ENSMUSG00000062694	Cav3
TMUB2	ENSG00000168591	ENSMUSG00000034757	Tmub2
DPYSL5	ENSG00000157851	ENSMUSG00000029168	Dpysl5
POLH	ENSG00000170734	ENSMUSG00000023953	Polh
RAD18	ENSG00000070950	ENSMUSG00000030254	Rad18
CARM1	ENSG00000142453	ENSMUSG00000032185	Carm1
CSTF2	ENSG00000101811	ENSMUSG00000031256	Cstf2
SPNS1	ENSG00000169682	ENSMUSG00000030741	Spns1
TRAPPC11	ENSG00000168538	ENSMUSG00000038102	Trappc11
CD28	ENSG00000178562	ENSMUSG00000026012	Cd28
RXRB	ENSG00000204231	ENSMUSG00000039656	Rxrb
UBTF	ENSG00000108312	ENSMUSG00000020923	Ubtf
LRRC10	ENSG00000198812	ENSMUSG00000060187	Lrrc10
TGFBR3	ENSG00000069702	ENSMUSG00000029287	Tgfbr3
SPIB	ENSG00000269404	ENSMUSG00000008193	Spib
FAM90A26	ENSG00000229924	ENSMUSG00000079112	Fam90a1a
FAM90A26	ENSG00000229924	ENSMUSG00000043549	Fam90a1b
TMC6	ENSG00000141524	ENSMUSG00000025572	Tmc6
POU2F3	ENSG00000137709	ENSMUSG00000032015	Pou2f3
BEST3	ENSG00000127325	ENSMUSG00000020169	Best3
GTPBP2	ENSG00000172432	ENSMUSG00000023952	Gtpbp2
SLC39A7	ENSG00000112473	ENSMUSG00000024327	Slc39a7
YIPF2	ENSG00000130733	ENSMUSG00000032182	Yipf2
OXTR	ENSG00000180914	ENSMUSG00000049112	Oxtr
INSL5	ENSG00000172410	ENSMUSG00000066090	Insl5
RGS5	ENSG00000143248	ENSMUSG00000026678	Rgs5
ARRDC4	ENSG00000140450	ENSMUSG00000042659	Arrdc4
C4orf33	ENSG00000151470	ENSMUSG00000025766	D3Ertd751e
AC020909.1	ENSG00000142539	ENSMUSG00000008193	Spib
BRF1	ENSG00000185024	ENSMUSG00000011158	Brf1
SSUH2	ENSG00000125046	ENSMUSG00000034387	Ssu2
TRAT1	ENSG00000163519	ENSMUSG00000030775	Trat1
MAPRE3	ENSG00000084764	ENSMUSG00000029166	Mapre3
PNISR	ENSG00000132424	ENSMUSG00000028248	Pnisr
SMC2	ENSG00000136824	ENSMUSG00000028312	Smc2
JADE1	ENSG00000077684	ENSMUSG00000025764	Jade1
EIF2B1	ENSG00000111361	ENSMUSG00000029388	Eif2b1
MRPS23	ENSG00000181610	ENSMUSG00000023723	Mrps23
TRNT1	ENSG00000072756	ENSMUSG00000013736	Trnt1
ITGA5	ENSG00000161638	ENSMUSG00000000555	Itga5
TGOLN2	ENSG00000152291	ENSMUSG00000056429	Tgoln1
PPP1CC	ENSG00000186298	ENSMUSG00000004455	Ppp1cc
CTLA4	ENSG00000163599	ENSMUSG00000026011	Ctla4
PDSS2	ENSG00000164494	ENSMUSG00000038240	Pdss2
PLOD2	ENSG00000152952	ENSMUSG00000032374	Plod2
KCNRG	ENSG00000198553	ENSMUSG00000046168	Kcnrg
CUEDC1	ENSG00000180891	ENSMUSG00000018378	Cuedc1
GTF2H3	ENSG00000111358	ENSMUSG00000029387	Gtf2h3
USP45	ENSG00000123552	ENSMUSG00000040455	Usp45
MDGA1	ENSG00000112139	ENSMUSG00000043557	Mdga1
SLC41A3	ENSG00000114544	ENSMUSG00000030089	Slc41a3
FRA10AC1	ENSG00000148690	ENSMUSG00000054237	Fra10ac1
ANKRD17	ENSG00000132466	ENSMUSG00000055204	Ankrd17
GTSF1	ENSG00000170627	ENSMUSG00000022487	Gtsf1
SCIMP	ENSG00000161929	ENSMUSG00000057135	Scimp
COBL	ENSG00000106078	ENSMUSG00000020173	Cobl
XKR7	ENSG00000260903	ENSMUSG00000042631	Xkr7
NRSN1	ENSG00000152954	ENSMUSG00000048978	Nrsn1
TNRC6C	ENSG00000078687	ENSMUSG00000025571	Tnrc6c
ZNF385A	ENSG00000161642	ENSMUSG00000000552	Zfp385a
FGFBP1	ENSG00000137440	ENSMUSG00000048373	Fgfbp1
RPL23A	ENSG00000198242	ENSMUSG00000058546	Rpl23a
FUNDC1	ENSG00000069509	ENSMUSG00000025040	Fundc1
FAM151A	ENSG00000162391	ENSMUSG00000034871	Fam151a
UCP3	ENSG00000175564	ENSMUSG00000032942	Ucp3
OR4F6	ENSG00000184140	ENSMUSG00000108827	Olfr1310
OR4F15	ENSG00000182854	ENSMUSG00000109528	Olfr1309
SCLT1	ENSG00000151466	ENSMUSG00000059834	Sclt1
ATP5F1E	ENSG00000124172	ENSMUSG00000016252	Atp5e
LGALSL	ENSG00000119862	ENSMUSG00000042363	Lgalsl
LGALSL	ENSG00000119862	ENSMUSG00000048398	Gm5065
ACOT11	ENSG00000162390	ENSMUSG00000034853	Acot11
FRG2	ENSG00000205097	ENSMUSG00000087385	Frg2f1
CCM2L	ENSG00000101331	ENSMUSG00000027474	Ccm2l
ZSWIM9	ENSG00000185453	ENSMUSG00000070814	Zswim9
TUBB1	ENSG00000101162	ENSMUSG00000016255	Tubb1
ATOX1	ENSG00000177556	ENSMUSG00000018585	Atox1
IL17RB	ENSG00000056736	ENSMUSG00000015966	Il17rb
TLCD1	ENSG00000160606	ENSMUSG00000019437	Tlcd1
SLC17A7	ENSG00000104888	ENSMUSG00000070570	Slc17a7
WDR44	ENSG00000131725	ENSMUSG00000036769	Wdr44
MMP13	ENSG00000137745	ENSMUSG00000050578	Mmp13
G3BP1	ENSG00000145907	ENSMUSG00000018583	G3bp1
NEK8	ENSG00000160602	ENSMUSG00000017405	Nek8
TPBGL	ENSG00000261594	ENSMUSG00000096606	Tpbgl
CES5A	ENSG00000159398	ENSMUSG00000058019	Ces5a
WDR78	ENSG00000152763	ENSMUSG00000035126	Wdr78
SH3BP5	ENSG00000131370	ENSMUSG00000021892	Sh3bp5
SLCO2B1	ENSG00000137491	ENSMUSG00000030737	Slco2b1
KCNG2	ENSG00000178342	ENSMUSG00000059852	Kcng2
DCBLD2	ENSG00000057019	ENSMUSG00000035107	Dcbld2
TMC8	ENSG00000167895	ENSMUSG00000050106	Tmc8
MPV17L	ENSG00000156968	ENSMUSG00000022679	Mpv17l
PROM1	ENSG00000007062	ENSMUSG00000029086	Prom1
YBX3	ENSG00000060138	ENSMUSG00000030189	Ybx3
RPL23	ENSG00000125691	ENSMUSG00000071415	Rpl23
SPTLC2	ENSG00000100596	ENSMUSG00000021036	Sptlc2
AC140504.1	ENSG00000261130	ENSMUSG00000022679	Mpv17l
EAPP	ENSG00000129518	ENSMUSG00000054302	Eapp
MARF1	ENSG00000166783	ENSMUSG00000060657	Marf1
MYL2	ENSG00000111245	ENSMUSG00000013936	Myl2
NQO1	ENSG00000181019	ENSMUSG00000003849	Nqo1
ATXN7L3	ENSG00000087152	ENSMUSG00000059995	Atxn7l3
HTRA4	ENSG00000169495	ENSMUSG00000037406	Htra4
ZNF366	ENSG00000178175	ENSMUSG00000050919	Zfp366
APLN	ENSG00000171388	ENSMUSG00000037010	Apln
AL035078.4	ENSG00000285283	ENSMUSG00000005973	Rcn1
TACR3	ENSG00000169836	ENSMUSG00000028172	Tacr3
TWSG1	ENSG00000128791	ENSMUSG00000024098	Twsg1
DDX55	ENSG00000111364	ENSMUSG00000029389	Ddx55
CCNC	ENSG00000112237	ENSMUSG00000028252	Ccnc
HCN4	ENSG00000138622	ENSMUSG00000032338	Hcn4
XPNPEP2	ENSG00000122121	ENSMUSG00000037005	Xpnpep2
SLC66A2	ENSG00000122490	ENSMUSG00000034006	Pqlc1
CLCN5	ENSG00000171365	ENSMUSG00000004317	Clcn5
ZNF777	ENSG00000196453	ENSMUSG00000071477	Zfp777
ZNF608	ENSG00000168916	ENSMUSG00000052713	Zfp608
SIRT6	ENSG00000077463	ENSMUSG00000034748	Sirt6
N4BP3	ENSG00000145911	ENSMUSG00000001053	N4bp3
H2BFWT	ENSG00000123569	ENSMUSG00000048155	H2bfm
ALKBH1	ENSG00000100601	ENSMUSG00000079036	Alkbh1
KCNH3	ENSG00000135519	ENSMUSG00000037579	Kcnh3
H2BFM	ENSG00000101812	ENSMUSG00000048155	H2bfm
DHODH	ENSG00000102967	ENSMUSG00000031730	Dhodh
PAX6	ENSG00000007372	ENSMUSG00000027168	Pax6
PLEKHD1	ENSG00000175985	ENSMUSG00000066438	Plekhd1
LHX3	ENSG00000107187	ENSMUSG00000026934	Lhx3
CUX2	ENSG00000111249	ENSMUSG00000042589	Cux2
XPO7	ENSG00000130227	ENSMUSG00000022100	Xpo7
MTSS1	ENSG00000170873	ENSMUSG00000022353	Mtss1
OPLAH	ENSG00000178814	ENSMUSG00000022562	Oplah
MCRS1	ENSG00000187778	ENSMUSG00000037570	Mcrs1
MYRFL	ENSG00000166268	ENSMUSG00000034057	Myrfl
BMERB1	ENSG00000166780	ENSMUSG00000044117	Bmerb1
DUX4	ENSG00000260596	ENSMUSG00000048502	Duxbl1
DUX4	ENSG00000260596	ENSMUSG00000072672	Duxbl3
DUX4	ENSG00000260596	ENSMUSG00000072675	Duxbl2
PHETA1	ENSG00000198324	ENSMUSG00000044134	Pheta1
GALNT15	ENSG00000131386	ENSMUSG00000021903	Galnt15
DDX59	ENSG00000118197	ENSMUSG00000026404	Ddx59
NCCRP1	ENSG00000188505	ENSMUSG00000047586	Nccrp1
HLA-G	ENSG00000204632	ENSMUSG00000073406	H2-Bl
HLA-G	ENSG00000204632	ENSMUSG00000055413	H2-Q5
TMEM150B	ENSG00000180061	ENSMUSG00000046456	Tmem150b
SYCN	ENSG00000179751	ENSMUSG00000084174	Sycn
KCNQ2	ENSG00000075043	ENSMUSG00000016346	Kcnq2
AFAP1	ENSG00000196526	ENSMUSG00000029094	Afap1
CLCN6	ENSG00000011021	ENSMUSG00000029016	Clcn6
ACTR8	ENSG00000113812	ENSMUSG00000015971	Actr8
AC117457.1	ENSG00000275163	ENSMUSG00000037610	Kcnmb2
MICU1	ENSG00000107745	ENSMUSG00000020111	Micu1
RAB3IP	ENSG00000127328	ENSMUSG00000064181	Rab3ip
OR6B3	ENSG00000178586	ENSMUSG00000067064	Olfr1416
OR6B3	ENSG00000178586	ENSMUSG00000057464	Olfr1415
OR6B3	ENSG00000178586	ENSMUSG00000042849	Olfr1414
KCNS1	ENSG00000124134	ENSMUSG00000040164	Kcns1
VPS35	ENSG00000069329	ENSMUSG00000031696	Vps35
PBX1	ENSG00000185630	ENSMUSG00000052534	Pbx1
KCNMB2	ENSG00000197584	ENSMUSG00000037610	Kcnmb2
CHP2	ENSG00000166869	ENSMUSG00000030865	Chp2
AGPAT3	ENSG00000160216	ENSMUSG00000001211	Agpat3
CAMSAP2	ENSG00000118200	ENSMUSG00000041570	Camsap2
NOB1	ENSG00000141101	ENSMUSG00000003848	Nob1
DPH3	ENSG00000154813	ENSMUSG00000021905	Dph3
IFNL3	ENSG00000197110	ENSMUSG00000059128	Ifnl2
IFNL3	ENSG00000197110	ENSMUSG00000060747	Ifnl3
RBBP9	ENSG00000089050	ENSMUSG00000027428	Rbbp9
COPS9	ENSG00000172428	ENSMUSG00000073616	Cops9
CCDC196	ENSG00000196553	ENSMUSG00000099418	Gm6657
NUTM2E	ENSG00000228570	ENSMUSG00000071909	Nutm2
VEZF1	ENSG00000136451	ENSMUSG00000018377	Vezf1
TXNDC16	ENSG00000087301	ENSMUSG00000021830	Txndc16
LRIG1	ENSG00000144749	ENSMUSG00000030029	Lrig1
SYNE2	ENSG00000054654	ENSMUSG00000063450	Syne2
ZBTB11	ENSG00000066422	ENSMUSG00000022601	Zbtb11
KCNH4	ENSG00000089558	ENSMUSG00000035355	Kcnh4
STAM2	ENSG00000115145	ENSMUSG00000055371	Stam2
DCDC2	ENSG00000146038	ENSMUSG00000035910	Dcdc2a
STK32A	ENSG00000169302	ENSMUSG00000039954	Stk32a
ZCCHC18	ENSG00000166707	ENSMUSG00000036699	Zcchc12
ZCCHC18	ENSG00000166707	ENSMUSG00000031428	Zcchc18
OTOS	ENSG00000178602	ENSMUSG00000044055	Otos
SLC25A53	ENSG00000269743	ENSMUSG00000044348	Slc25a53
AC015813.2	ENSG00000266086	ENSMUSG00000018379	Srsf1
DOLK	ENSG00000175283	ENSMUSG00000075419	Dolk
TMEM154	ENSG00000170006	ENSMUSG00000056498	Tmem154
KLF5	ENSG00000102554	ENSMUSG00000005148	Klf5
PTBP2	ENSG00000117569	ENSMUSG00000028134	Ptbp2
RPL24	ENSG00000114391	ENSMUSG00000098274	Rpl24
SOBP	ENSG00000112320	ENSMUSG00000038248	Sobp
NUP188	ENSG00000095319	ENSMUSG00000052533	Nup188
SINHCAF	ENSG00000139146	ENSMUSG00000039985	Sinhcaf
SRSF1	ENSG00000136450	ENSMUSG00000018379	Srsf1
HLA-A	ENSG00000206503	ENSMUSG00000073406	H2-Bl
HLA-A	ENSG00000206503	ENSMUSG00000055413	H2-Q5
WFDC5	ENSG00000175121	ENSMUSG00000040154	Wfdc5
CCDC177	ENSG00000267909	ENSMUSG00000062961	Ccdc177
PEX6	ENSG00000124587	ENSMUSG00000002763	Pex6
WFDC12	ENSG00000168703	ENSMUSG00000042845	Wfdc12
SNX6	ENSG00000129515	ENSMUSG00000005656	Snx6
MEI1	ENSG00000167077	ENSMUSG00000068117	Mei1
EXOSC4	ENSG00000178896	ENSMUSG00000034259	Exosc4
SUSD6	ENSG00000100647	ENSMUSG00000021133	Susd6
MTHFR	ENSG00000177000	ENSMUSG00000029009	Mthfr
QSOX2	ENSG00000165661	ENSMUSG00000036327	Qsox2
TATDN1	ENSG00000147687	ENSMUSG00000050891	Tatdn1
ASB15	ENSG00000146809	ENSMUSG00000029685	Asb15
RFC3	ENSG00000133119	ENSMUSG00000033970	Rfc3
GPR25	ENSG00000170128	ENSMUSG00000052759	Gpr25
AADAT	ENSG00000109576	ENSMUSG00000057228	Aadat
IFNL2	ENSG00000183709	ENSMUSG00000059128	Ifnl2
IFNL2	ENSG00000183709	ENSMUSG00000060747	Ifnl3
MTCH2	ENSG00000109919	ENSMUSG00000027282	Mtch2
SLC25A26	ENSG00000144741	ENSMUSG00000045100	Slc25a26
INAVA	ENSG00000163362	ENSMUSG00000041605	Inava
OR4F4	ENSG00000177693	ENSMUSG00000108891	Olfr1291-ps1
OR4F4	ENSG00000177693	ENSMUSG00000108908	Olfr1293-ps
OR4F4	ENSG00000177693	ENSMUSG00000061195	Olfr1289
SLC35B2	ENSG00000157593	ENSMUSG00000037089	Slc35b2
NLRP12	ENSG00000142405	ENSMUSG00000078817	Nlrp12
KMT5C	ENSG00000133247	ENSMUSG00000059851	Kmt5c
SELENOK	ENSG00000113811	ENSMUSG00000042682	Selenok
ODF3B	ENSG00000177989	ENSMUSG00000047394	Odf3b
FAM169B	ENSG00000283597	ENSMUSG00000074071	Fam169b
AL672142.1	ENSG00000251184	ENSMUSG00000098794	Gm28038
SCO2	ENSG00000284194	ENSMUSG00000091780	Sco2
PHYHD1	ENSG00000175287	ENSMUSG00000079484	Phyhd1
KATNA1	ENSG00000186625	ENSMUSG00000019794	Katna1
HSBP1L1	ENSG00000226742	ENSMUSG00000078963	Hsbp1l1
GPR137C	ENSG00000180998	ENSMUSG00000049092	Gpr137c
ST3GAL6	ENSG00000064225	ENSMUSG00000022747	St3gal6
TXNL4A	ENSG00000141759	ENSMUSG00000057130	Txnl4a
NCAPH2	ENSG00000025770	ENSMUSG00000008690	Ncaph2
C1QBP	ENSG00000108561	ENSMUSG00000018446	C1qbp
ZNF428	ENSG00000131116	ENSMUSG00000064264	Zfp428
KRT24	ENSG00000167916	ENSMUSG00000020913	Krt24
NPTN	ENSG00000156642	ENSMUSG00000032336	Nptn
MIER1	ENSG00000198160	ENSMUSG00000028522	Mier1
SRRM5	ENSG00000226763	ENSMUSG00000117477	Gm50092
GDI1	ENSG00000203879	ENSMUSG00000015291	Gdi1
FAM199X	ENSG00000123575	ENSMUSG00000042595	Fam199x
GDPD2	ENSG00000130055	ENSMUSG00000019359	Gdpd2
TIGD4	ENSG00000169989	ENSMUSG00000047819	Tigd4
HCRT	ENSG00000161610	ENSMUSG00000045471	Hcrt
DHX33	ENSG00000005100	ENSMUSG00000040620	Dhx33
ZNF746	ENSG00000181220	ENSMUSG00000057691	Zfp746
WBP2	ENSG00000132471	ENSMUSG00000034341	Wbp2
DHX38	ENSG00000140829	ENSMUSG00000037993	Dhx38
TSPAN9	ENSG00000011105	ENSMUSG00000030352	Tspan9
ZSCAN20	ENSG00000121903	ENSMUSG00000061894	Zscan20
DPP10	ENSG00000175497	ENSMUSG00000036815	Dpp10
LASP1	ENSG00000002834	ENSMUSG00000038366	Lasp1
KIF21B	ENSG00000116852	ENSMUSG00000041642	Kif21b
COL1A1	ENSG00000108821	ENSMUSG00000001506	Col1a1
GNMT	ENSG00000124713	ENSMUSG00000002769	Gnmt
NPPA	ENSG00000175206	ENSMUSG00000041616	Nppa
CCDC187	ENSG00000260220	ENSMUSG00000048038	Ccdc187
AP1M2	ENSG00000129354	ENSMUSG00000003309	Ap1m2
CEP97	ENSG00000182504	ENSMUSG00000022604	Cep97
SH2B3	ENSG00000111252	ENSMUSG00000042594	Sh2b3
MROH5	ENSG00000226807	ENSMUSG00000072487	Mroh5
SEMG1	ENSG00000124233	ENSMUSG00000017003	Svs3a
SEMG1	ENSG00000124233	ENSMUSG00000040132	Svs2
SEMG1	ENSG00000124233	ENSMUSG00000050383	Svs3b
TTC4	ENSG00000243725	ENSMUSG00000025413	Ttc4
REC114	ENSG00000183324	ENSMUSG00000074269	Rec114
ICOS	ENSG00000163600	ENSMUSG00000026009	Icos
GTF3C6	ENSG00000155115	ENSMUSG00000019837	Gtf3c6
SEMG2	ENSG00000124157	ENSMUSG00000017003	Svs3a
SEMG2	ENSG00000124157	ENSMUSG00000040132	Svs2
SEMG2	ENSG00000124157	ENSMUSG00000050383	Svs3b
CNOT2	ENSG00000111596	ENSMUSG00000020166	Cnot2
NFKBIE	ENSG00000146232	ENSMUSG00000023947	Nfkbie
MROH7	ENSG00000184313	ENSMUSG00000047502	Mroh7
NUP88	ENSG00000108559	ENSMUSG00000040667	Nup88
DDR1	ENSG00000204580	ENSMUSG00000003534	Ddr1
FAM174B	ENSG00000185442	ENSMUSG00000078670	Fam174b
PLXND1	ENSG00000004399	ENSMUSG00000030123	Plxnd1
CCDC136	ENSG00000128596	ENSMUSG00000029769	Ccdc136
GPC1	ENSG00000063660	ENSMUSG00000034220	Gpc1
APC	ENSG00000134982	ENSMUSG00000005871	Apc
ARFIP1	ENSG00000164144	ENSMUSG00000074513	Arfip1
ARFIP1	ENSG00000164144	ENSMUSG00000102805	Gm37240
TYMP	ENSG00000025708	ENSMUSG00000022615	Tymp
NDUFB9	ENSG00000147684	ENSMUSG00000022354	Ndufb9
SFTPD	ENSG00000133661	ENSMUSG00000021795	Sftpd
ATXN2	ENSG00000204842	ENSMUSG00000042605	Atxn2
